English,Arabic
شكرا ,Thanks
مرحبا ,welcome
يوم ,day
أبي ,My Father
معك ,with you
لها ,she has
معي ,with me
سيد ,Mr
تعلم ,Learn
إذن ,So
العمل ,the job
تم ,It was completed
المكان ,Place
الليلة ,Tonight
إلهي ,divine
لهذا ,For this
فعل ,Act
هكذا ,thus
أمي ,Illiterate
لذلك ,So
ألا ,unless
لـ ,L
الان ,right Now
حول ,About
بما ,Including
حقا ,Oh really
الحقيقة ,Truth
الجميع ,everybody
يمكننا ,We can
بالتأكيد ,certainly
لأن ,because
لديه ,he have
لنا ,for us
خلال ,During
ظ ,NS
بشكل ,On
العالم ,the scientist
فحسب ,Not only
حال ,Case
الذهاب ,going
عليها ,on her
بـ ,B
أعني ,I mean
فعلت ,I did
قال ,He said
هم ,they
المنزل ,the home
عنه ,about him
ها ,Ha
بشأن ,about
أفعل ,I do
أكون ,I be
اللعنة ,the curse
للغاية ,Extremely
فيه ,in it
بين ,between
أننا ,We are
منك ,From you
وهذا ,and this is
لكِ ,is yours
جيدة ,Good
يعني ,Means
مجرد ,Just
أظن ,I suspect
انك ,You
مني ,Muna
أنّ ,that
بالنسبة ,with regards
الأمور ,Thursday
فكرة ,idea
أم ,Mother
متى ,when
الشيء ,The thing
المال ,the money
كنا ,We were
أقول ,I say
عمل ,a job
أبداً ,Start
ستكون ,it will be
عليّ ,Ali
أيّ ,Which
أمر ,Command
تقول ,Says
توقف ,Stop
هؤلاء ,these
السيد ,the master
انظر ,Look
لما ,when
منه ,from him
الطريق ,The Road
أشعر ,I feel
حصلت ,I got
الحياة ,life
أني ,that I
نفس ,same
معه ,With him
بحاجة ,Need
بسبب ,Because
الذين ,Whose
تستطيع ,Could you
بأس ,Bass
اي ,Which
بدون ,without
لكم ,to you
تبدو ,Looks like
أرى ,Show
الجحيم ,Hell
تكن ,You are
اعتقد ,Think
عند ,when
آسفة ,sorry
حيث ,where
دائماً ,Always
وأنت ,And you
تحت ,Under
حسنًا ,Okay
تعال ,Come here
بالفعل ,actually
بل ,but rather
فضلك ,Please
الأشياء ,The things
ليلة ,a night
نفسك ,yourself
لكي ,in order to
تعتقد ,U think
وهو ,and he
بحق ,Rightly
مشكلة ,Problem
شيئا ,Nothing
أرجوك ,Please
أذهب ,Go
يريد ,Wants
تماماً ,completely
الـ ,The
الوحيد ,the only
قتل ,killing
إنهم ,that they
الشخص ,the person
رأيت ,I have seen
عزيزتي ,My dear
طوال ,throughout
بهذه ,With this
الشرطة ,the police
الأن ,Now
أحب ,Loved
الذى ,Which
أيضا ,Moreover
بنا ,coffee beans
أردت ,I wanted
أكن ,I was
كلّ ,all
النار ,fire
سمعت ,I heard
اجل ,okay
جميع ,all
أَنْ ,that
قليلاً ,a little
مالذي ,Whatever
بأنه ,That
والآن ,And now
إلي ,to me
انتظر ,wait
فتاة ,girl
كبير ,old
يعرف ,Known
او ,or
فيها ,In which
حسنٌ ,Hassan
الرجال ,Men
اريد ,I want
لأنه ,Because he
السبب ,Reason
سنوات ,Years
الباب ,The Door
نذهب ,We go
دون ,Without
حياتي ,my life
لابد ,You have to
السيارة ,The Car
تريدين ,You want
خارج ,Outside
ومن ,And from
ثلاثة ,three
فعله ,He did
تذهب ,Go
كانوا ,they were
اذهب ,Go
الحصول ,Obtain
يقول ,He says
الواقع ,Reality
كثيراً ,Much
اعرف ,I know
أنهم ,that they
سبب ,reason
كبيرة ,big
مما ,Than
أحتاج ,I need
قمت ,You
إنّه ,that it
منها ,Of which
كنتُ ,I was
للتو ,just yet
استطيع ,I can
نوع ,Type
هنالك ,there
تعرفين ,You know
جميلة ,beautiful
بكل ,All
دولار ,dollar
بأنك ,That you
لأنني ,because I
الأفضل ,Best
دائما ,Always
جديد ,new
الامر ,Matter
اين ,where
بالضبط ,exactly
جون ,John
دعنا ,Let's
أنظر ,Look
المدينة ,City
الخاص ,The private
تعلمين ,You know
جميل ,Lovely
بسرعة ,quickly
الأرض ,Earth
لحظة ,Moment
الطريقة ,Way
طريقة ,method
رائعة ,amazing
سعيد ,happy
دقيقة ,Accurate
لكنه ,But he
غرفة ,room
إليه ,mechanism
التحدث ,Talk
ثانية ,a second
دعني ,Let me
لكنني ,But I
الفتاة ,the girl
لمَ ,did not
ولم ,And did not
أنتم ,you all
عظيم ,Great
انهم ,that they
اوه ,Oh
جيداً ,Well
لديّ ,I have
بينما ,While
نفسي ,Psychological
إليك ,Here
قام ,Have
لديها ,she has
عام ,general
اعلم ,Know
يعمل ,Works
سأكون ,I'll be
عيد ,holiday
رفاق ,friends
ألم ,pain
لهم ,for them
تعمل ,Working
تتحدث ,Talking
القيام ,The performance
الله ,Allah
ساعة ,hour
المرة ,Time
هيّا ,Let's go
ترى ,See
مهلاً ,Hey
جاك ,Jack
أنتَ ,you
الخير ,The good
متأكد ,sure
جميعاً ,All
أحاول ,I'm trying
شيئ ,Thing
الموت ,the death
رقم ,number
منهم ,who are they
سيارة ,a car
مجدداً ,again
ايها ,Dear
عنك ,About you
يفعل ,Do
فقد ,Lost
ذهبت ,I went
المزيد ,More
أتمنى ,I hope
مات ,Died
يتم ,Complete
لكني ,But I am
طريق ,Way
وجدت ,have found
وقد ,The
أول ,first
معها ,with her
سعيدة ,happy
لدى ,I have
أقصد ,I mean
إلا ,But
صباح ,morning
الرئيس ,President
احد ,One
فرصة ,an opportunity
الأولى ,First
تباً ,Damn
يرام ,Okay
عليكِ ,upon you
يكفي ,It is enough
علاقة ,Relationship
صغيرة ,Small
الأقل ,the least
لأنك ,because you are
غريب ,a stranger
لنذهب ,Let's go
المدرسة ,The school
ــ ,And
الصباح ,Morning
أفهم ,I understand
حين ,when
صديقي ,My friend
سأذهب ,I will go
أنكِ ,You are
تأتي ,Come
الخاصة ,Private
أخبرني ,tell me
تقوم ,get up
نستطيع ,We can
نفسه ,Himself
التى ,that
الأطفال ,children
حالة ,condition
لى ,Mine
هى,she
